age,job_level,tenure_years,salary_usd,salary_vs_market_pct,rto_mandate,days_in_office_required,commute_minutes,prefers_remote,flexibility_importance,ai_tools_adoption,weekly_hours,after_hours_work,burnout_score,manager_relationship_score,manager_1on1_per_month,engagement_score,promotions_last_2y,career_growth_score,recent_layoff_round,team_size,attrition,gender_Male,gender_Other,department_Data,department_Engineering,department_Finance,department_HR,department_Marketing,department_Operations,department_Product,department_Sales,work_arrangement_onsite,work_arrangement_remote
32,2,4.5,122000,9.6,1,5,115,0,3,1,41,0,5.4,3,1,71,1,1,1,4,0,True,False,False,False,False,False,False,False,False,False,True,False
30,1,0.9,111000,-13.3,0,0,106,1,1,1,53,0,3.9,4,0,74,0,4,0,15,0,False,False,False,False,False,False,False,False,True,False,False,True
35,4,3.4,168000,-4.4,1,0,18,1,3,2,32,0,5.1,2,0,64,0,1,1,6,1,True,False,False,True,False,False,False,False,False,False,False,True
39,0,1.1,86000,-27.1,1,5,13,1,1,2,52,1,4.7,4,1,90,0,4,0,19,0,True,False,False,True,False,False,False,False,False,False,True,False
33,0,2.3,60000,-0.4,0,3,6,1,3,2,32,0,6.3,4,2,25,0,2,1,12,1,True,False,False,False,False,False,False,False,True,False,False,False
41,1,0.8,85000,10.2,0,0,17,1,4,1,32,0,5.7,4,2,79,0,4,0,13,0,True,False,False,False,False,False,False,True,False,False,False,True
39,1,8.4,109000,6.0,1,3,52,1,2,2,44,0,3.5,4,2,98,0,1,0,9,0,True,False,False,False,False,False,False,False,False,True,False,False
36,0,0.4,53000,3.3,0,2,17,0,2,1,46,0,6.2,4,2,83,0,3,0,8,0,True,False,False,False,False,False,False,True,False,False,False,False
32,0,5.9,68000,1.3,0,4,14,1,5,2,38,1,4.0,1,1,61,0,1,0,24,0,False,False,True,False,False,False,False,False,False,False,True,False
25,0,1.8,47000,-4.0,1,0,57,0,2,2,36,1,5.1,5,1,83,2,4,0,17,0,False,False,False,True,False,False,False,False,False,False,False,True
41,3,2.3,176000,2.1,1,4,26,0,5,1,62,0,3.8,1,4,55,1,5,1,22,0,False,False,False,True,False,False,False,False,False,False,False,False
45,1,4.5,87000,3.2,1,3,42,1,2,1,43,0,3.7,3,1,56,0,2,1,11,1,False,False,False,False,False,False,False,False,False,True,False,False
20,2,1.9,133000,9.4,0,5,67,1,2,0,48,0,4.8,1,1,51,1,5,1,8,1,True,False,False,False,False,False,False,False,False,True,True,False
52,1,7.9,110000,-9.2,1,5,22,0,3,1,57,1,6.1,3,2,75,0,2,1,13,1,False,False,True,False,False,False,False,False,False,False,True,False
31,1,1.2,98000,-16.0,1,3,36,0,3,3,38,1,2.9,2,0,83,0,4,0,8,0,True,False,False,False,False,False,False,False,False,True,False,False
28,0,1.6,55000,21.8,0,3,72,1,3,3,39,0,4.7,5,2,100,1,1,1,4,0,False,False,False,True,False,False,False,False,False,False,False,False
32,1,2.0,76000,-6.1,1,5,42,1,3,1,43,0,6.6,5,1,73,0,2,1,18,1,False,False,False,False,False,False,False,True,False,False,True,False
20,1,1.9,81000,-5.1,0,0,48,1,3,3,50,0,5.7,2,0,57,1,2,0,8,0,False,False,False,False,False,False,False,False,False,False,False,True
23,0,1.1,49000,12.9,0,3,33,1,4,0,30,0,5.2,1,2,55,0,1,1,4,0,False,False,False,False,False,False,True,False,False,False,False,False
38,0,7.7,57000,3.6,1,4,73,1,5,2,34,0,4.5,4,0,48,1,3,0,12,0,False,False,False,True,False,False,False,False,False,False,False,False
30,0,3.6,60000,-1.2,0,3,38,1,5,1,41,0,8.0,4,1,89,1,1,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False
39,2,5.9,134000,-5.0,0,5,62,1,2,1,40,1,3.2,1,4,71,2,3,0,6,0,True,False,True,False,False,False,False,False,False,False,True,False
33,0,2.1,48000,-8.0,0,3,23,1,3,2,44,1,1.2,2,1,69,1,5,0,19,0,True,False,False,False,False,False,False,True,False,False,False,False
44,0,3.3,62000,2.3,0,2,43,0,1,1,50,1,7.1,1,2,53,0,5,0,21,0,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0.4,47000,9.0,1,4,3,1,5,3,63,0,5.7,3,2,54,1,4,0,18,0,True,False,True,False,False,False,False,False,False,False,False,False
33,4,2.0,200000,-7.8,1,0,40,1,3,0,40,0,4.7,5,0,97,0,3,0,22,0,True,False,False,False,False,False,False,True,False,False,False,True
25,0,4.3,54000,-15.5,0,4,34,1,5,1,40,0,1.5,1,0,33,0,5,0,4,0,False,False,False,False,False,False,False,False,False,True,True,False
31,1,2.4,90000,-13.1,0,2,73,1,5,1,41,0,4.6,1,2,34,1,5,0,13,1,False,False,False,False,True,False,False,False,False,False,False,False
39,0,3.4,66000,-8.3,0,2,18,1,2,0,54,0,5.7,1,2,29,0,4,0,16,1,False,False,False,False,False,False,False,False,True,False,False,False
41,2,0.8,139000,2.6,1,4,42,1,5,3,45,0,4.4,3,1,64,0,1,0,20,0,False,False,False,False,False,False,False,False,False,True,False,False
33,1,3.7,64000,4.2,1,0,18,1,3,0,40,1,6.5,2,4,58,0,5,0,21,1,False,False,True,False,False,False,False,False,False,False,False,True
37,1,2.1,89000,-1.8,0,3,40,0,1,0,49,0,5.3,2,0,51,0,1,0,4,0,True,False,False,False,False,False,False,False,False,False,False,False
20,0,0.3,63000,-5.1,0,0,70,1,2,1,41,0,5.6,4,2,55,1,5,1,3,0,True,False,False,False,False,False,False,False,False,False,False,True
27,0,3.6,63000,-9.4,1,5,45,0,2,3,33,0,2.5,3,0,57,0,2,0,4,0,True,False,False,False,False,False,False,False,False,False,True,False
41,4,7.3,172000,14.2,1,0,61,0,2,0,39,1,10.0,5,0,59,1,3,1,23,0,False,False,False,False,False,False,False,True,False,False,False,True
41,1,8.6,98000,-18.2,0,4,38,1,4,1,42,0,6.8,3,0,97,1,1,0,20,0,True,False,False,False,True,False,False,False,False,False,True,False
22,1,1.3,79000,0.5,0,3,43,1,2,2,44,1,3.8,4,0,72,1,1,0,20,0,False,False,False,False,False,True,False,False,False,False,False,False
37,0,4.2,63000,-8.8,0,3,7,0,3,2,54,0,3.9,4,4,95,1,4,1,17,0,False,False,False,False,False,True,False,False,False,False,False,False
45,1,7.2,89000,-13.6,0,3,13,1,4,1,45,0,6.6,1,2,34,1,3,0,17,0,True,False,False,True,False,False,False,False,False,False,False,False
25,3,5.4,151000,-15.5,1,5,38,1,2,2,49,0,7.5,2,2,67,0,4,0,11,1,False,False,False,False,True,False,False,False,False,False,True,False
28,0,1.5,61000,-5.9,0,0,69,0,3,3,49,0,3.0,1,0,64,0,1,0,7,0,False,False,False,False,False,False,False,False,False,True,False,True
40,2,2.4,132000,-6.1,0,0,7,1,3,2,42,0,6.3,5,0,66,0,2,0,8,0,False,False,False,False,False,False,False,False,False,False,False,True
38,0,8.8,56000,0.5,1,0,32,0,1,1,38,0,5.8,4,1,85,1,2,0,10,0,True,False,False,False,False,False,False,False,False,True,False,True
25,1,3.7,93000,10.7,1,5,13,1,1,3,50,1,3.9,1,0,46,1,3,0,4,0,False,False,False,False,False,False,False,False,True,False,True,False
31,2,1.2,147000,2.4,1,5,23,1,2,2,46,0,5.6,3,0,44,0,3,1,12,1,False,False,False,False,True,False,False,False,False,False,True,False
47,1,1.3,97000,-8.5,0,3,13,1,3,1,38,0,5.6,1,1,45,0,2,0,22,0,True,False,False,False,False,True,False,False,False,False,False,False
35,1,7.1,101000,-14.1,1,3,63,0,2,2,48,0,6.2,5,0,96,0,1,0,6,0,True,False,True,False,False,False,False,False,False,False,False,False
20,0,3.2,47000,-4.4,1,5,31,0,1,1,45,0,9.3,5,0,74,1,5,1,18,0,True,False,False,True,False,False,False,False,False,False,False,False
53,0,3.4,66000,7.6,0,0,40,0,4,3,34,0,4.1,3,0,77,0,4,0,23,0,False,True,False,False,False,False,False,True,False,False,False,True
37,4,6.1,166000,-14.3,1,5,25,1,1,1,45,0,5.7,2,2,48,0,3,1,14,0,False,False,False,False,False,False,False,False,True,False,True,False
27,1,4.9,95000,10.0,0,2,40,0,1,0,55,0,7.6,5,2,67,0,3,0,5,0,True,False,False,False,False,True,False,False,False,False,False,False
20,1,1.5,95000,-5.8,1,5,83,1,2,2,41,0,6.1,2,1,67,0,1,1,9,1,False,False,False,False,False,False,False,False,False,True,False,False
21,1,1.9,99000,-4.3,1,4,48,1,4,2,52,0,6.4,2,2,80,1,2,0,23,1,False,False,False,True,False,False,False,False,False,False,False,False
24,3,4.8,125000,1.3,1,4,94,0,1,2,49,0,4.1,3,1,74,0,1,0,24,0,True,False,False,False,False,False,False,True,False,False,False,False
31,1,1.7,131000,-10.2,0,5,73,0,3,0,49,1,4.0,5,1,78,0,5,0,6,0,True,False,False,False,False,False,False,False,False,True,True,False
22,1,1.7,106000,15.9,0,3,67,1,1,2,49,0,5.3,3,2,60,1,5,1,20,0,False,False,False,True,False,False,False,False,False,False,False,False
32,4,4.1,166000,-9.0,0,0,52,0,3,1,40,0,4.9,5,0,57,0,3,0,24,0,True,False,False,True,False,False,False,False,False,False,False,True
32,1,2.8,89000,-13.4,0,4,27,1,2,0,40,1,3.0,5,2,65,2,5,0,12,0,False,False,False,False,False,False,False,False,True,False,True,False
56,1,4.1,112000,15.2,0,5,7,1,4,2,38,0,4.1,1,1,59,1,1,0,6,0,True,False,False,False,False,False,False,False,True,False,True,False
44,2,2.8,127000,-9.4,0,0,8,0,4,3,30,0,4.1,4,2,68,1,1,0,15,0,False,False,False,False,False,False,False,False,True,False,False,True
34,1,1.8,79000,-2.2,0,0,28,1,4,1,43,0,6.5,4,2,70,1,5,0,21,0,False,False,True,False,False,False,False,False,False,False,False,True
27,2,4.3,147000,9.7,1,5,15,1,5,1,35,1,3.4,1,2,60,0,4,1,10,1,False,False,False,False,False,True,False,False,False,False,True,False
20,2,2.5,129000,2.3,1,0,45,1,1,0,48,0,5.3,1,0,65,0,3,1,5,1,True,False,False,False,False,False,False,True,False,False,False,True
20,3,2.2,172000,-24.4,0,2,14,1,3,2,41,1,4.2,1,0,65,1,1,0,15,0,False,False,True,False,False,False,False,False,False,False,False,False
35,1,4.2,96000,11.7,0,2,76,1,3,1,44,0,1.4,2,0,63,1,3,1,15,0,False,False,False,False,False,False,False,False,True,False,False,False
46,3,1.2,160000,6.3,0,0,3,1,1,1,50,0,8.9,3,2,35,1,4,0,17,0,True,False,False,True,False,False,False,False,False,False,False,True
44,4,4.5,196000,12.4,1,0,47,1,3,3,31,0,3.9,1,1,41,2,2,0,14,0,True,False,False,False,False,False,False,True,False,False,False,True
25,0,1.3,55000,-6.4,0,0,11,0,4,2,43,0,2.5,3,1,46,0,1,0,6,1,True,False,False,False,False,False,False,False,False,True,False,True
31,3,3.8,121000,-4.0,0,4,91,0,1,1,53,0,4.4,1,2,56,0,1,1,12,1,False,False,False,False,False,False,False,True,False,False,True,False
36,2,2.4,172000,4.1,0,3,19,1,1,2,39,1,4.7,1,1,30,1,5,0,23,1,True,False,False,False,False,False,False,False,True,False,False,False
40,1,3.7,97000,4.7,0,3,16,1,5,3,48,1,4.7,4,0,57,0,1,1,7,0,True,False,False,False,False,False,True,False,False,False,False,False
37,5,1.7,242000,-9.5,0,0,29,0,5,3,52,0,5.4,3,0,79,1,1,0,24,0,False,False,False,False,False,False,False,False,False,True,False,True
42,2,5.0,90000,-14.5,1,4,70,1,2,2,55,0,1.9,4,0,67,0,1,0,8,0,True,False,False,False,False,False,False,False,False,True,False,False
43,0,2.7,55000,-8.2,0,3,49,0,1,1,44,0,4.5,2,1,52,1,4,0,14,0,False,False,False,False,False,False,False,False,False,True,False,False
42,4,6.4,177000,-3.3,0,5,39,1,1,1,37,0,2.0,1,1,57,1,1,0,6,1,True,False,False,False,False,False,False,False,False,True,True,False
26,0,3.6,63000,-7.2,1,3,22,0,2,0,38,0,2.5,1,0,63,0,1,0,18,0,True,False,False,True,False,False,False,False,False,False,False,False
20,0,2.6,47000,11.7,0,0,13,1,4,1,45,0,3.2,4,4,76,1,1,0,8,0,True,False,False,False,False,False,True,False,False,False,False,True
38,2,4.6,139000,-2.8,1,4,76,1,3,1,44,1,5.6,5,0,68,1,2,1,3,0,True,False,True,False,False,False,False,False,False,False,False,False
24,2,2.8,136000,-1.6,1,5,11,1,3,3,56,1,4.5,5,0,48,1,3,0,11,0,False,False,False,False,False,False,False,False,False,False,False,False
25,2,1.6,131000,-0.8,1,4,59,1,1,2,41,0,2.7,5,1,70,1,5,0,7,0,False,False,False,False,False,False,True,False,False,False,False,False
37,2,1.5,142000,-17.3,0,3,38,1,2,2,35,0,3.2,1,2,56,0,1,0,16,0,True,False,False,False,False,False,False,False,True,False,False,False
31,3,9.7,175000,6.7,1,0,11,1,1,0,38,0,1.3,2,1,60,0,3,0,21,0,True,False,False,False,False,False,False,False,False,False,False,True
38,2,11.4,124000,-9.1,0,5,24,1,4,1,38,0,5.0,4,1,59,0,3,0,23,1,True,False,False,False,False,False,False,False,True,False,True,False
51,0,5.1,47000,-0.8,0,3,118,0,2,1,44,0,10.0,3,1,81,1,5,0,11,0,True,False,False,False,False,False,False,True,False,False,False,False
32,1,3.9,95000,-2.1,1,0,38,0,4,2,43,1,3.0,2,2,62,1,1,0,22,0,False,False,False,True,False,False,False,False,False,False,False,True
25,2,2.7,100000,-2.8,0,0,23,1,5,1,30,0,7.8,5,1,61,0,2,0,14,0,False,False,False,True,False,False,False,False,False,False,False,True
35,0,3.3,65000,25.1,1,3,15,1,3,3,35,0,4.7,3,4,75,2,1,0,20,0,True,False,False,False,False,False,True,False,False,False,False,False
35,2,2.2,121000,-13.0,0,0,46,1,3,2,40,0,7.6,3,0,45,2,3,0,6,0,False,False,True,False,False,False,False,False,False,False,False,True
50,2,2.9,115000,-11.8,0,2,23,1,1,1,42,0,2.9,4,1,41,0,1,0,18,0,False,False,False,False,False,False,False,False,False,True,False,False
41,1,1.8,91000,-4.4,0,4,7,1,4,1,47,0,8.1,2,1,80,1,4,0,5,0,True,False,False,False,False,False,False,False,False,True,True,False
34,1,4.9,82000,0.1,0,2,17,1,3,1,38,0,5.3,5,4,85,0,2,0,3,0,True,False,False,True,False,False,False,False,False,False,False,False
28,2,4.9,123000,-4.3,1,4,7,1,2,1,40,0,2.9,1,0,73,0,1,0,22,1,False,False,False,True,False,False,False,False,False,False,False,False
46,1,0.9,73000,-11.3,0,2,37,1,2,2,44,0,5.0,2,0,41,0,3,0,12,0,False,False,True,False,False,False,False,False,False,False,False,False
27,2,1.3,158000,4.5,1,5,31,1,3,3,49,0,4.6,3,4,57,1,5,0,17,0,True,False,False,False,False,False,False,False,True,False,False,False
21,1,2.4,88000,4.9,0,2,23,1,4,0,34,0,5.6,4,4,64,0,1,0,4,0,True,False,False,True,False,False,False,False,False,False,False,False
42,2,3.8,91000,-9.7,1,4,16,1,3,1,43,1,6.2,2,0,54,0,5,1,6,0,True,False,False,False,False,True,False,False,False,False,False,False
33,2,11.4,130000,4.5,1,3,8,1,5,0,38,0,2.8,5,0,90,1,5,1,5,0,False,False,False,True,False,False,False,False,False,False,False,False
39,1,2.2,120000,-15.8,0,4,14,1,2,2,38,0,1.0,4,2,63,0,2,1,24,0,False,False,False,False,False,False,False,False,False,True,True,False
27,1,9.1,90000,1.9,0,2,6,0,1,3,48,0,3.7,1,0,55,1,4,0,11,0,True,False,False,False,False,False,True,False,False,False,False,False
29,0,8.5,62000,-15.3,0,5,17,1,5,0,54,0,7.4,2,1,47,0,5,0,6,0,True,False,False,False,False,False,False,False,True,False,True,False
31,1,1.2,123000,-12.7,0,0,29,1,5,0,46,0,3.2,1,0,73,0,1,0,5,0,False,False,False,False,False,False,False,False,False,False,False,True
23,1,2.8,104000,-15.1,1,5,6,1,1,0,49,1,5.0,1,2,74,1,2,0,7,1,False,False,False,True,False,False,False,False,False,False,True,False
47,3,2.8,171000,-7.0,1,3,38,1,5,2,48,0,8.3,3,0,59,0,2,1,21,0,True,False,False,False,False,False,True,False,False,False,False,False
44,4,4.2,195000,0.3,0,3,16,0,2,0,39,0,4.7,5,2,94,1,5,1,8,0,True,False,False,True,False,False,False,False,False,False,False,False
58,0,3.6,52000,9.3,0,4,40,1,5,2,43,1,4.0,4,0,67,2,2,1,14,0,False,True,False,False,False,True,False,False,False,False,True,False
34,2,1.7,136000,-19.0,1,4,20,1,3,2,37,0,4.4,4,0,82,0,2,1,16,0,False,False,False,True,False,False,False,False,False,False,False,False
38,4,4.7,167000,-2.0,0,3,26,1,1,1,46,0,5.0,4,0,85,1,2,1,5,0,True,False,False,True,False,False,False,False,False,False,False,False
42,3,7.3,183000,-5.6,0,5,38,1,1,2,48,0,7.7,1,2,54,0,1,0,16,1,False,False,False,False,False,False,False,False,True,False,True,False
36,2,0.4,126000,-3.2,1,5,47,1,5,2,46,0,1.0,1,2,60,0,4,0,14,0,True,False,False,False,False,False,True,False,False,False,True,False
43,3,11.4,150000,4.9,1,4,25,0,3,0,37,1,5.3,1,0,86,1,5,0,15,0,False,False,False,True,False,False,False,False,False,False,False,False
33,3,3.5,133000,2.4,0,5,17,0,4,0,45,0,6.5,4,1,70,1,3,0,17,0,True,False,False,False,False,False,False,False,False,True,True,False
24,0,2.7,47000,-11.4,0,4,41,1,4,2,36,0,4.4,4,0,73,2,1,0,6,0,False,False,False,False,False,False,False,False,False,True,True,False
32,4,0.9,144000,-1.0,0,0,28,1,2,0,40,0,2.5,3,2,61,0,3,0,5,0,True,False,False,True,False,False,False,False,False,False,False,True
38,1,2.4,93000,11.5,0,3,37,1,4,0,49,0,3.5,1,0,30,1,2,1,17,0,False,False,False,True,False,False,False,False,False,False,False,False
37,2,7.3,122000,-7.9,1,5,3,0,3,2,36,0,7.6,1,0,59,1,4,1,9,0,False,False,False,True,False,False,False,False,False,False,True,False
20,1,1.9,73000,-5.1,1,0,7,0,1,0,38,0,7.5,5,2,74,0,4,0,9,0,True,False,False,False,False,True,False,False,False,False,False,True
26,0,1.1,69000,-12.2,1,3,12,1,4,2,39,0,9.9,4,1,82,1,4,0,10,0,False,False,True,False,False,False,False,False,False,False,False,False
37,1,2.5,93000,13.4,0,0,93,1,5,0,30,0,6.2,2,2,57,0,3,0,9,0,True,False,False,False,False,False,False,False,False,True,False,True
30,1,4.0,75000,9.6,0,4,41,1,2,2,47,0,5.9,4,1,82,2,2,0,8,0,True,False,False,False,False,False,False,False,True,False,True,False
34,0,1.2,64000,-1.1,0,4,7,1,5,0,46,1,7.6,3,4,47,1,5,0,15,1,False,False,True,False,False,False,False,False,False,False,True,False
40,0,3.5,62000,1.1,0,0,68,0,2,0,33,0,6.7,1,4,49,0,3,0,24,0,True,False,False,False,True,False,False,False,False,False,False,True
22,1,4.6,78000,2.5,0,0,6,0,2,3,43,1,4.1,1,2,62,0,4,0,16,0,True,False,False,False,False,False,True,False,False,False,False,True
34,0,4.0,61000,4.9,0,3,46,1,5,1,51,0,5.4,4,4,68,0,5,1,21,0,True,False,True,False,False,False,False,False,False,False,False,False
31,1,4.1,90000,5.8,1,0,41,0,1,3,39,0,3.3,5,1,69,1,5,0,10,0,False,True,False,True,False,False,False,False,False,False,False,True
28,1,1.5,87000,-11.3,0,3,54,0,1,2,39,0,5.0,1,0,50,1,1,0,3,1,True,False,False,False,False,False,False,False,False,False,False,False
37,4,4.2,214000,4.8,0,5,25,1,2,0,46,0,3.9,2,2,54,0,4,0,15,1,False,False,False,False,False,False,False,False,False,False,True,False
41,1,1.5,95000,-11.2,1,0,55,0,4,2,44,0,8.5,3,0,74,1,5,0,3,1,False,False,False,False,False,False,False,False,False,True,False,True
30,3,3.2,143000,-3.2,1,0,118,0,5,0,40,0,4.3,2,1,61,1,5,0,16,1,False,False,False,False,False,False,False,False,True,False,False,True
35,0,0.6,60000,10.3,1,3,24,0,2,3,46,0,4.4,4,0,73,0,2,0,18,0,True,False,False,False,False,False,False,False,False,True,False,False
33,1,1.9,92000,-2.9,0,0,28,1,5,3,39,1,3.2,1,4,52,2,3,1,9,0,False,False,False,True,False,False,False,False,False,False,False,True
28,1,1.8,88000,2.5,0,2,31,0,5,1,49,1,7.5,4,1,67,0,2,0,3,0,False,False,False,False,False,False,False,False,False,True,False,False
40,1,2.0,88000,-9.5,0,3,32,1,5,2,40,1,4.0,5,2,88,0,5,1,18,0,True,False,False,False,False,False,False,False,False,False,False,False
21,1,1.7,115000,-3.7,0,2,83,1,4,2,33,0,3.6,1,4,53,1,5,0,7,0,True,False,False,False,False,False,True,False,False,False,False,False
29,0,9.0,69000,7.2,1,5,18,1,5,1,48,1,1.8,1,1,59,1,5,0,11,1,True,False,False,True,False,False,False,False,False,False,True,False
32,1,9.3,97000,-1.7,1,5,55,1,1,1,31,1,4.2,5,4,75,0,5,0,19,0,True,False,False,True,False,False,False,False,False,False,True,False
36,2,5.9,124000,-16.1,0,0,106,1,1,1,42,0,4.4,1,0,47,0,5,0,9,0,True,False,False,True,False,False,False,False,False,False,False,True
45,4,2.0,178000,-11.1,1,5,13,1,4,0,36,0,1.9,3,2,83,0,1,1,22,1,False,False,False,True,False,False,False,False,False,False,False,False
38,0,3.2,55000,-2.7,0,0,14,1,3,2,50,0,3.1,3,0,67,0,2,0,8,0,False,False,False,False,False,True,False,False,False,False,False,True
46,4,5.2,172000,1.5,1,4,36,0,1,2,46,0,6.9,4,1,48,0,5,0,4,0,True,False,False,True,False,False,False,False,False,False,False,False
37,0,1.4,61000,-7.5,0,0,53,0,4,2,42,0,7.2,4,0,92,0,4,0,7,0,True,False,False,False,False,False,True,False,False,False,False,True
20,0,1.8,72000,-25.0,0,4,43,1,3,2,47,0,4.8,4,2,48,2,4,1,12,1,False,False,True,False,False,False,False,False,False,False,True,False
28,1,1.5,79000,-7.3,0,5,25,0,2,1,53,0,6.2,5,1,71,0,1,0,23,0,False,False,False,False,False,False,False,False,False,True,True,False
41,2,0.5,144000,-6.6,0,0,15,1,2,2,47,0,1.0,1,4,66,0,3,0,13,0,True,False,False,False,False,False,False,False,False,True,False,True
43,1,0.7,109000,-13.3,0,3,6,0,3,2,41,1,6.7,2,2,67,0,2,1,23,0,True,False,False,False,False,False,True,False,False,False,False,False
35,1,1.4,93000,11.6,0,5,34,1,4,2,49,1,2.2,4,4,70,1,3,1,9,0,True,False,False,False,False,False,False,True,False,False,True,False
30,1,7.1,91000,-9.8,0,0,51,1,3,2,38,0,1.1,2,4,62,0,3,0,8,0,True,False,False,False,False,False,False,False,False,True,False,True
33,1,4.6,97000,-7.6,0,4,57,0,4,2,42,0,4.5,3,0,41,0,1,1,18,0,True,False,False,False,True,False,False,False,False,False,True,False
